origin,mae,rmse,n
2021-01-01,1100.9517999744414,1202.8248741138339,48
2021-01-02,455.49467387003347,545.9376284879147,48
2021-01-03,206.87847564195684,278.35082341103794,48
2021-01-04,486.1220765014439,630.5186206211685,48
2021-01-05,272.3957713045989,362.31678093831243,48
2021-01-06,288.37373485616837,419.91110287134035,48
2021-01-07,506.80620018903284,584.996014266246,48
2021-01-08,598.944114972686,701.4814770559708,48
2021-01-09,489.9296653303484,558.6094093876202,48
2021-01-10,408.9363349415989,518.1849490141522,48
2021-01-11,310.8237506850159,394.9215005191059,48
2021-01-12,672.2641946596751,916.4862765845398,48
2021-01-13,796.5895136951082,971.4532974187015,48
2021-01-14,1127.920477003359,1554.2780467697337,48
2021-01-15,645.0133322033843,821.7895447065254,48
2021-01-16,678.967515316516,799.6992589358892,48
2021-01-17,510.59520602286165,641.8147266052283,48
2021-01-18,536.7113637579081,722.4832364283096,48
2021-01-19,297.05187484059996,360.5737233751111,48
2021-01-20,276.12035694256264,369.3942196729378,48
2021-01-21,225.8383715240976,299.26810926106356,48
2021-01-22,959.570431548841,1300.5572175161908,48
2021-01-23,1382.2261527102892,1606.50896459073,48
2021-01-24,1782.1184133494826,2130.958062653928,48
2021-01-25,1887.9675032925281,2254.9732384449576,48
2021-01-26,1617.159290542306,2030.543569087445,48
2021-01-27,835.1860257388149,927.040868502989,48
2021-01-28,391.45240149385927,439.2774832321212,48
2021-01-29,427.12969722755315,489.8189755196774,48
2021-01-30,346.57866140717306,368.67817057377243,48
2021-01-31,272.15064155007695,315.008820864526,48
2021-02-01,402.16845110105606,520.1967957361303,48
2021-02-02,370.1698482885101,461.7249427013069,48
2021-02-03,439.05551363686635,482.4677504341367,48
2021-02-04,384.18478026382087,538.8129901655886,48
2021-02-05,604.4477715279417,807.7898570379689,48
2021-02-06,421.2138668889329,497.21903954206056,48
2021-02-07,283.0243192413386,349.2833154194756,48
2021-02-08,330.12519248577763,389.5667967561213,48
2021-02-09,323.62006662202793,400.91753967643587,48
2021-02-10,318.19735460351745,382.01627859668804,48
2021-02-11,263.2785959607373,326.63550226224424,48
2021-02-12,518.9251016923181,716.5048108603127,48
2021-02-13,515.8880562642205,556.120275595419,48
2021-02-14,550.5459457729446,628.2320168212854,48
2021-02-15,489.1573346810815,536.2037168136959,48
2021-02-16,308.7842968324729,367.8278210223697,48
2021-02-17,330.01624833281574,395.43771576412274,48
2021-02-18,279.7075274528542,343.7406988086533,48
2021-02-19,339.19490749414456,407.51406988379546,48
2021-02-20,425.7359102749662,476.95540435735177,48
2021-02-21,633.1712568796994,742.4812802400431,48
2021-02-22,642.3288701063334,880.3785599474319,48
2021-02-23,390.9211141189073,464.29991174809743,48
2021-02-24,364.0578729259984,425.0557087284255,48
2021-02-25,356.3327226080655,391.9831050546527,48
2021-02-26,313.2689566227925,348.45871259498233,48
2021-02-27,314.7541426772511,365.8203013667536,48
2021-02-28,371.5387609026614,414.19253114082915,48
2021-03-01,1026.7989191645004,1349.7061887843988,48
2021-03-02,312.6044693521348,398.56290522598243,48
2021-03-03,416.64896096596345,482.1788534190095,48
2021-03-04,419.38285289692794,475.82881591980663,48
2021-03-05,535.2171551795437,602.479935041329,48
2021-03-06,557.4356977144142,643.361169049908,48
2021-03-07,450.89906065920167,545.0470655723124,48
2021-03-08,478.4837981706546,648.8833407590894,48
2021-03-09,339.67872159394057,404.67169885226633,48
2021-03-10,325.9928716404233,367.496073842959,48
2021-03-11,419.8378480497722,501.42567456907733,48
2021-03-12,432.83213449802207,505.8400512877603,48
2021-03-13,599.8617975226483,767.4977340985627,48
2021-03-14,443.1022143798127,490.1619242506527,48
2021-03-15,648.9870290198187,690.4088111125304,48
2021-03-16,356.01441732242216,417.4669142463711,48
2021-03-17,331.67611135492695,387.9850699904345,48
2021-03-18,463.4225585363118,515.7824933597394,48
2021-03-19,403.81781455847636,478.8625289471548,48
2021-03-20,435.2511094685627,526.9743229179884,48
2021-03-21,422.5904109127923,540.5336851691175,48
2021-03-22,599.089656229942,684.6649746809966,48
2021-03-23,579.2787219577293,696.3248763227571,48
2021-03-24,367.03435017349676,401.9790614724704,48
2021-03-25,373.98600104401913,419.78119789545013,48
2021-03-26,588.1409288405272,650.9493288958357,48
2021-03-27,492.79066859830306,564.4882979492955,48
2021-03-28,491.7975724716668,600.6712355311116,48
2021-03-29,410.73931286602783,455.01739031779806,48
2021-03-30,488.6685067366886,530.4674629076251,48
2021-03-31,450.94495296774494,498.68441603881826,48
2021-04-01,367.0648858752522,421.4203416368871,48
2021-04-02,952.6638250907149,1081.8765482628671,48
2021-04-03,438.22902361339607,516.0388206577244,48
2021-04-04,343.22386307524283,447.4220223196229,48
2021-04-05,568.072208664753,662.3065097012454,48
2021-04-06,299.02650085132615,420.5047984330123,48
2021-04-07,259.02312615924035,339.6052962494152,48
2021-04-08,168.9109815044683,210.9697684439637,48
2021-04-09,214.19982074470354,257.28539092246143,48
2021-04-10,497.6138998110412,551.406507447429,48
2021-04-11,547.028031427075,668.4337740195402,48
2021-04-12,338.97942587005053,424.2605169912498,48
2021-04-13,394.77582461250205,476.8054228447145,48
2021-04-14,192.02874987187678,228.2287045319825,48
2021-04-15,250.5633992946504,319.9077449763361,48
2021-04-16,213.75635190274375,257.4052591825337,48
2021-04-17,479.7327846203232,578.7549960853422,48
2021-04-18,470.23562489263486,526.6093064217816,48
2021-04-19,268.54108806091386,308.508339104807,48
2021-04-20,276.3679536361858,322.13128262533144,48
2021-04-21,413.8978265854444,447.18046493141986,48
2021-04-22,538.4387857923565,592.7043678462725,48
2021-04-23,547.4147229632603,623.6224060350057,48
2021-04-24,604.497115536804,720.6374993366796,48
2021-04-25,516.5223949962009,588.8344892687489,48
2021-04-26,346.21686715234836,386.42702779378976,48
2021-04-27,390.5891185220059,454.03864102548397,48
2021-04-28,363.4480130861493,426.5462996996065,48
2021-04-29,411.04526326428055,472.60441111109395,48
2021-04-30,367.4511685316921,468.52960444352726,48
2021-05-01,314.4468323913712,482.14930072942104,48
2021-05-02,345.7994377467317,438.19504551475444,48
2021-05-03,306.39819669552327,357.05225699361444,48
2021-05-04,894.2974735597769,989.6666758513485,48
2021-05-05,892.4815675766475,942.9946151844501,48
2021-05-06,718.363389365395,753.3574708651375,48
2021-05-07,465.9613058973148,515.0436635164209,48
2021-05-08,349.9457059301971,505.6799417723023,48
2021-05-09,495.9752986350443,543.0449318057873,48
2021-05-10,357.76986819972086,405.0993962465488,48
2021-05-11,639.0075448245258,650.3618497102741,48
2021-05-12,608.6451605732208,641.1081905401564,48
2021-05-13,491.88320619932,581.2807867249057,48
2021-05-14,528.8638724922963,605.541703441497,48
2021-05-15,977.6692090240317,1066.200340043186,48
2021-05-16,1104.1335129025108,1256.0633387086154,48
2021-05-17,1122.8262767223798,1236.6431953227518,48
2021-05-18,1217.6617840230092,1340.8309976391786,48
2021-05-19,1279.9546674121082,1405.5321951179353,48
2021-05-20,1142.5361890837046,1253.4627042647933,48
2021-05-21,1501.2731928420064,1537.3550322495082,48
2021-05-22,1027.5007093043678,1166.572753574167,48
2021-05-23,971.6884439194251,1039.030030046168,48
2021-05-24,990.2358354926079,1035.2825621375184,48
2021-05-25,668.5770781932761,768.5613888235647,48
2021-05-26,641.002156547571,743.4041073171442,48
2021-05-27,1038.366348605812,1173.590648008771,48
2021-05-28,1244.735259453533,1375.653901186544,48
2021-05-29,1643.3205701813165,1680.8733436358796,48
2021-05-30,1448.4656942520987,1485.3379584564611,48
2021-05-31,1261.243398665387,1374.5268470519147,48
2021-06-01,1424.4121140802079,1492.2240669199455,48
2021-06-02,1157.2910530093366,1262.3981974174644,48
2021-06-03,1969.9734518108316,2118.384054014485,48
2021-06-04,1255.9721935746607,1303.9662460686095,48
2021-06-05,1291.4251033326302,1432.9591777286082,48
2021-06-06,1292.6637771956612,1427.2564938743978,48
2021-06-07,1392.9017584068897,1547.6183363794328,48
2021-06-08,1725.7025717565396,1813.9446735011697,48
2021-06-09,1947.757948814613,2078.3766081897343,48
2021-06-10,2979.8981791024867,3143.228726922634,48
2021-06-11,2206.756027325098,2269.6800675786376,48
2021-06-12,1565.1354321228894,1625.0077333300962,48
2021-06-13,1236.9453095277022,1361.4147470333917,48
2021-06-14,780.1980210520359,883.3645231747914,48
2021-06-15,1441.8196626509568,1519.5406460959184,48
2021-06-16,1394.4384214914778,1501.467523901894,48
2021-06-17,1230.8912231789484,1361.2575467391594,48
2021-06-18,1334.8305225533659,1405.4784118236246,48
2021-06-19,1634.9916004408453,1683.838820112474,48
2021-06-20,1539.5452912916855,1631.7720689327246,48
2021-06-21,1575.0192194601484,1681.7113208455748,48
2021-06-22,1539.7623761802022,1619.189117728892,48
2021-06-23,1432.6881044237525,1496.3241538660534,48
2021-06-24,1079.861123775642,1179.9217477293857,48
2021-06-25,732.3362307376977,810.9984253768744,48
2021-06-26,922.2865852430932,1025.5117862226261,48
2021-06-27,1013.1572321309892,1211.1158138885555,48
2021-06-28,1563.6402595067527,1676.3637866361544,48
2021-06-29,1380.614415648685,1458.1024587946092,48
2021-06-30,1009.7340073478512,1066.0180702569305,48
2021-07-01,1128.8025663899487,1211.8524808710029,48
2021-07-02,695.0762117424811,796.4348891570526,48
2021-07-03,823.0040083699979,930.0152910176618,48
2021-07-04,950.8104004816159,1190.5131054707115,48
2021-07-05,1167.6963790925854,1374.0350930816958,48
2021-07-06,1685.2334076532418,1824.0831213159354,48
2021-07-07,1603.6333233591365,1769.5651276740766,48
2021-07-08,1508.6728963447094,1622.7345267402702,48
2021-07-09,1966.523513165319,2136.87816156537,48
2021-07-10,1471.5265095837374,1546.6994873569108,48
2021-07-11,921.5965071279926,1077.4938494860685,48
2021-07-12,904.0509033024018,1099.6518437720374,48
2021-07-13,799.8783799530887,972.3000013248363,48
2021-07-14,1508.5669954968205,1740.3822585731796,48
2021-07-15,390.1794239206312,476.9327023594658,48
2021-07-16,541.87956772923,705.1304357920991,48
2021-07-17,786.7743470195229,993.4572081038219,48
2021-07-18,627.0197531579252,768.2677604314531,48
2021-07-19,945.5076115596312,1138.8164911335527,48
2021-07-20,1133.9892290781052,1283.9779519025328,48
2021-07-21,964.0741788548567,1174.568293037307,48
2021-07-22,1013.6737173593195,1202.395935983694,48
2021-07-23,1124.3755551524146,1242.2151628107786,48
2021-07-24,595.4925296555066,697.0578853832429,48
2021-07-25,609.8299331968843,894.4337327426612,48
2021-07-26,399.30651567011074,502.8105078407686,48
2021-07-27,479.90812951319003,620.249298161054,48
2021-07-28,357.14471191815863,428.51944369166625,48
2021-07-29,626.2574658271145,730.9093400419528,48
2021-07-30,723.3062196580044,811.4406646240465,48
2021-07-31,420.19121302893853,574.5520049328817,48
2021-08-01,459.62541668254613,586.8927708951301,48
2021-08-02,416.2597376079466,489.6181572745612,48
2021-08-03,439.5444124484323,575.8383460718112,48
2021-08-04,491.22158842266845,615.4529296116133,48
2021-08-05,515.6226099331367,646.9529742824274,48
2021-08-06,526.9774324474298,768.066055447447,48
2021-08-07,639.2972823658125,795.9279083719409,48
2021-08-08,475.57630290756725,539.1224191790419,48
2021-08-09,477.4323693637372,563.3776854165194,48
2021-08-10,665.2087901738538,859.831581389223,48
2021-08-11,1015.9161253114386,1152.6568043459588,48
2021-08-12,1078.7925306044447,1230.43169367881,48
2021-08-13,623.9954813402896,861.4297342983904,48
2021-08-14,670.059106377534,916.5675428923488,48
2021-08-15,794.1858683982095,1043.0354975075572,48
2021-08-16,822.404252038248,974.2290089535703,48
2021-08-17,678.5354301531203,905.2586904963794,48
2021-08-18,517.2889532347041,751.4932448732234,48
2021-08-19,604.4448886926492,852.2805744249673,48
2021-08-20,918.3085974117195,1121.1075118167541,48
2021-08-21,925.6052886388926,1077.386914131715,48
2021-08-22,1243.745234394981,1396.3308472649771,48
2021-08-23,1179.8339747271318,1197.9665698498711,48
2021-08-24,1097.5861792270823,1197.1038426751838,48
2021-08-25,318.18501844271515,390.3418010889308,48
2021-08-26,535.4508415674944,749.5778383894614,48
2021-08-27,410.404017573859,553.1594346713372,48
2021-08-28,533.0469828416807,674.5859769576081,48
2021-08-29,381.89921439053387,471.9834840532216,48
2021-08-30,625.171943199591,797.2768635154514,48
2021-08-31,1003.8054280106895,1204.971067877271,48
2021-09-01,1282.484642965492,1448.2476494144628,48
2021-09-02,1321.8458765800854,1393.2556647635145,48
2021-09-03,1486.2677347249391,1579.1991707624609,48
