origin,mae,rmse,n
2021-01-01,444.474375,580.175817861491,48
2021-01-02,394.46750000000003,462.6979066527461,48
2021-01-03,418.06958333333336,547.655236287697,48
2021-01-04,749.4770833333333,911.5185037457185,48
2021-01-05,693.2135416666666,843.5909441575243,48
2021-01-06,405.61437499999994,438.4466523967501,48
2021-01-07,243.1529166666667,295.8782748656954,48
2021-01-08,461.5697916666666,529.234621975846,48
2021-01-09,312.2870833333333,340.24612679034766,48
2021-01-10,302.06916666666666,399.44245882542333,48
2021-01-11,482.16833333333324,602.5917635237529,48
2021-01-12,551.8718749999999,672.4584000903575,48
2021-01-13,991.2372916666667,1195.958203195071,48
2021-01-14,1599.8008333333335,2013.1239565215137,48
2021-01-15,1189.3720833333332,1391.8260831952027,48
2021-01-16,211.86687499999996,303.06823399401327,48
2021-01-17,212.80145833333327,262.0540812464416,48
2021-01-18,306.5608333333334,372.41605377364357,48
2021-01-19,787.3675,1013.0722567229184,48
2021-01-20,967.3960416666665,1203.5171033310728,48
2021-01-21,1221.4933333333333,1564.3787486651051,48
2021-01-22,486.0329166666668,588.4048156739826,48
2021-01-23,1929.7939583333336,2247.845528855075,48
2021-01-24,2180.110416666667,2565.113331138282,48
2021-01-25,1489.373333333333,1679.6005006287953,48
2021-01-26,1744.4995833333332,2175.4049290381167,48
2021-01-27,917.6066666666666,1020.3256059872913,48
2021-01-28,490.19520833333337,607.3272955832109,48
2021-01-29,990.5981249999999,1316.7053994416328,48
2021-01-30,941.6477083333334,1212.3458836031834,48
2021-01-31,1530.1127083333333,1932.4238915289998,48
2021-02-01,1506.9704166666668,1772.1994790125914,48
2021-02-02,1886.8331249999999,2318.676270932494,48
2021-02-03,970.633125,1160.2556631451607,48
2021-02-04,490.1437500000002,619.9164039711324,48
2021-02-05,564.6533333333332,734.9997475793216,48
2021-02-06,288.62583333333333,358.6585782177343,48
2021-02-07,275.0470833333334,370.95842306337613,48
2021-02-08,347.87416666666655,514.9684267506113,48
2021-02-09,100.48104166666667,113.60920144109517,48
2021-02-10,135.9195833333333,203.22176158899254,48
2021-02-11,276.35145833333337,402.06246503445635,48
2021-02-12,282.61604166666666,318.23600192768356,48
2021-02-13,274.93333333333334,333.79525625124353,48
2021-02-14,497.0260416666665,581.4563752606466,48
2021-02-15,371.9906250000001,429.5873003947122,48
2021-02-16,108.60916666666668,125.04558277217683,48
2021-02-17,77.95645833333344,100.6158405458605,48
2021-02-18,341.76270833333336,423.4831817769351,48
2021-02-19,369.70312500000006,505.0295078528417,48
2021-02-20,555.4529166666667,684.2903942436769,48
2021-02-21,1053.7393749999999,1222.3359363862496,48
2021-02-22,993.086875,1186.958765665254,48
2021-02-23,271.1535416666665,305.99008543646744,48
2021-02-24,147.8460416666667,233.86958755094693,48
2021-02-25,237.27229166666666,289.86405702716917,48
2021-02-26,346.5649999999999,459.00173030719617,48
2021-02-27,426.7183333333334,563.0254473859655,48
2021-02-28,410.90541666666655,510.4479204907521,48
2021-03-01,458.5891666666665,691.7867602237217,48
2021-03-02,212.23062499999992,258.85382740152147,48
2021-03-03,239.16395833333323,322.2400234200431,48
2021-03-04,449.9712499999999,626.8963283975536,48
2021-03-05,341.1285416666667,457.9363996438261,48
2021-03-06,571.255625,712.5643477682677,48
2021-03-07,559.5672916666667,641.0766605956082,48
2021-03-08,825.4666666666666,1082.4977145202972,48
2021-03-09,383.6108333333334,461.8043706484382,48
2021-03-10,337.64229166666655,441.82601726858104,48
2021-03-11,569.4702083333333,777.621286575552,48
2021-03-12,679.4954166666668,791.9528988914051,48
2021-03-13,1014.3916666666665,1293.9537912006363,48
2021-03-14,656.3002083333333,786.6838450300413,48
2021-03-15,767.7516666666667,1014.5451280335768,48
2021-03-16,330.2554166666667,413.8337862948924,48
2021-03-17,190.88583333333327,240.91594821465569,48
2021-03-18,175.93729166666677,205.17338444695181,48
2021-03-19,372.95416666666665,427.71553016189006,48
2021-03-20,666.3839583333333,833.8529101818558,48
2021-03-21,317.56541666666664,349.9529554156768,48
2021-03-22,789.7658333333334,1035.5221116502858,48
2021-03-23,498.2952083333333,669.325723525487,48
2021-03-24,254.92270833333336,346.1876204790065,48
2021-03-25,470.69291666666663,637.0911924782301,48
2021-03-26,458.0864583333334,653.5916884496136,48
2021-03-27,614.7252083333334,917.0063668297238,48
2021-03-28,701.2468749999999,1064.05263639677,48
2021-03-29,600.2441666666667,850.0924316679727,48
2021-03-30,708.1897916666667,993.0612030368942,48
2021-03-31,193.14874999999998,242.35948209735884,48
2021-04-01,142.25250000000003,169.2234980974372,48
2021-04-02,531.7479166666667,652.1532280166219,48
2021-04-03,106.55104166666673,129.10770788538022,48
2021-04-04,179.9120833333333,216.2704244015656,48
2021-04-05,402.19624999999996,653.0693252857361,48
2021-04-06,665.0395833333333,796.088103423547,48
2021-04-07,622.0824999999999,710.5063938868999,48
2021-04-08,436.8504166666665,477.5556108323929,48
2021-04-09,846.5837500000001,989.9742943821824,48
2021-04-10,176.25729166666667,229.28685601138017,48
2021-04-11,300.2795833333332,402.3036874882787,48
2021-04-12,531.3266666666667,655.1780396897217,48
2021-04-13,666.4670833333333,888.358978974716,48
2021-04-14,401.0525,560.8366397772766,48
2021-04-15,332.2054166666666,472.82115525234974,48
2021-04-16,193.1966666666667,269.1340206492546,48
2021-04-17,627.6966666666666,796.7518676136463,48
2021-04-18,326.7497916666666,361.8768763537998,48
2021-04-19,176.76791666666668,189.34926835084417,48
2021-04-20,188.115,253.84437454373503,48
2021-04-21,290.1395833333334,347.3161222683163,48
2021-04-22,438.8510416666668,518.976023392459,48
2021-04-23,462.20791666666673,510.22096299462913,48
2021-04-24,532.7179166666666,732.7694889538365,48
2021-04-25,102.10854166666674,131.23402028913844,48
2021-04-26,115.37083333333335,139.07227149938993,48
2021-04-27,181.0447916666667,201.27652021431442,48
2021-04-28,210.19291666666663,258.351231933712,48
2021-04-29,165.7091666666668,212.51009691698576,48
2021-04-30,277.1260416666668,322.915304449815,48
2021-05-01,343.7937500000001,383.1341541103239,48
2021-05-02,285.59229166666677,350.69529311723505,48
2021-05-03,159.57958333333335,200.6493422719513,48
2021-05-04,668.5547916666668,894.1149714230921,48
2021-05-05,514.4283333333333,696.8587807888339,48
2021-05-06,387.00895833333334,576.118447950376,48
2021-05-07,237.17375,313.5030862886361,48
2021-05-08,68.69979166666673,86.65215739524332,48
2021-05-09,169.18395833333338,252.68744759666367,48
2021-05-10,68.67333333333336,90.9586408530456,48
2021-05-11,359.7195833333332,486.552950120368,48
2021-05-12,364.8312500000001,507.008106513923,48
