origin,mae,rmse,n,cov50,cov80,cov95,crps
2021-01-01,211.9267661577934,260.9228175271562,48,0.875,1.0,1.0,215.09085799558906
2021-01-02,118.69730903462018,142.3269105697802,48,1.0,1.0,1.0,187.04178484363783
2021-01-03,269.50362297373454,330.10864893529174,48,1.0,1.0,1.0,224.79964471349885
2021-01-04,653.984358997988,873.2806051558343,48,0.4791666666666667,0.75,0.875,476.4378092726491
2021-01-05,986.7867746060606,1174.9714910639973,48,0.10416666666666667,0.7083333333333334,0.875,655.3286760333099
2021-01-06,251.91481922168384,289.40223791803163,48,0.9166666666666666,1.0,1.0,220.65438969866273
2021-01-07,293.29360853859333,393.39480995515805,48,0.8333333333333334,1.0,1.0,241.40630734695765
2021-01-08,368.36255230803823,461.34211203931494,48,0.6875,1.0,1.0,270.8941657063554
2021-01-09,620.4538466603276,731.8356637047723,48,0.4583333333333333,0.75,1.0,414.87033476985425
2021-01-10,540.888292328221,661.1208664409472,48,0.5833333333333334,0.75,1.0,385.9734301158821
2021-01-11,458.7788710126424,567.8489856016188,48,0.5,1.0,1.0,323.8611586648717
2021-01-12,1273.6828426394902,1534.8306690764502,48,0.20833333333333334,0.4583333333333333,0.6875,927.4160369105871
2021-01-13,1157.2826714445393,1337.283594054897,48,0.16666666666666666,0.2916666666666667,0.9583333333333334,805.1589241758558
2021-01-14,1085.2986925983987,1374.4949924116065,48,0.2916666666666667,0.5833333333333334,0.75,777.5651964493392
2021-01-15,977.0219651878523,1119.5627108934762,48,0.14583333333333334,0.4583333333333333,1.0,642.8165554226003
2021-01-16,1532.6779410923166,1853.3667098621083,48,0.16666666666666666,0.375,0.4791666666666667,1192.6670967055195
2021-01-17,2280.549200609105,2561.837337019083,48,0.10416666666666667,0.16666666666666666,0.1875,1874.705585670368
2021-01-18,422.9256106658168,509.5103362697363,48,0.6875,1.0,1.0,285.54511444520614
2021-01-19,480.6095028125722,644.9531763648936,48,0.5833333333333334,0.7083333333333334,1.0,380.08611752031356
2021-01-20,672.4156779011574,902.5315135262775,48,0.5,0.8125,1.0,459.1812964866979
2021-01-21,323.93351453946576,405.5662365566695,48,0.7708333333333334,1.0,1.0,254.75875903577813
2021-01-22,1034.8702870795976,1348.7277543719251,48,0.375,0.5833333333333334,0.7916666666666666,746.8515227805689
2021-01-23,1937.704103809865,2409.2928119161998,48,0.25,0.3333333333333333,0.3958333333333333,1586.8289325588066
2021-01-24,875.8088755042423,1053.460373858776,48,0.3541666666666667,0.625,0.9791666666666666,588.6269827885077
2021-01-25,1497.0798608084922,1694.3937622590793,48,0.16666666666666666,0.2708333333333333,0.4583333333333333,1128.767974033765
2021-01-26,1041.5039626325151,1271.611643705878,48,0.2708333333333333,0.4375,0.9375,716.1724237222003
2021-01-27,920.7726153315234,1187.6380203592532,48,0.375,0.5416666666666666,0.8125,662.9168427981898
2021-01-28,1513.531831145758,1836.855668072412,48,0.10416666666666667,0.2708333333333333,0.5208333333333334,1147.9978906487763
2021-01-29,873.3160529744483,1096.9120062428965,48,0.3541666666666667,0.625,1.0,592.6255333306004
2021-01-30,911.1337550916005,1057.497267517734,48,0.22916666666666666,0.5833333333333334,0.8541666666666666,610.3932826774075
2021-01-31,1136.8148414476127,1252.5858986969217,48,0.14583333333333334,0.3125,0.875,772.6272790014937
2021-02-01,427.7419889113794,561.6055519717955,48,0.5416666666666666,0.7083333333333334,0.7916666666666666,315.9140571487882
2021-02-02,403.5682983768215,509.02022437580763,48,0.4166666666666667,0.7916666666666666,0.9583333333333334,275.8379098765891
2021-02-03,223.47945297257957,278.6105635374148,48,0.5833333333333334,1.0,1.0,168.04647800318654
2021-02-04,390.2226960176483,576.962321827339,48,0.6041666666666666,0.7916666666666666,0.875,298.45285871540597
2021-02-05,447.24010921958194,546.4436356211228,48,0.4166666666666667,0.6458333333333334,1.0,306.37086669565207
2021-02-06,365.0939436745489,511.7144487830049,48,0.5833333333333334,0.7083333333333334,0.875,280.24931085325437
2021-02-07,570.7079106159482,679.4879204383909,48,0.3333333333333333,0.6041666666666666,0.75,403.97586546728235
2021-02-08,352.15546740648756,449.3792015071843,48,0.625,0.8333333333333334,0.8958333333333334,251.32282495790525
2021-02-09,126.0607906869301,158.5165226419666,48,0.8958333333333334,1.0,1.0,127.11115222139154
2021-02-10,71.62535798761581,85.77747817617926,48,1.0,1.0,1.0,111.17026909159387
2021-02-11,281.52983343176794,361.74033677122196,48,0.6041666666666666,0.9375,1.0,198.41399478973872
2021-02-12,554.7618206623931,678.7908113490522,48,0.22916666666666666,0.6666666666666666,0.875,382.486783833518
2021-02-13,554.6380621094272,707.5021267620826,48,0.3541666666666667,0.625,0.8125,396.81287179972014
2021-02-14,646.2063152720083,754.1054635721265,48,0.10416666666666667,0.5416666666666666,0.6458333333333334,459.423403291997
2021-02-15,170.17521574519967,282.83867994858906,48,0.8333333333333334,0.8958333333333334,0.9375,168.1063949008675
2021-02-16,298.7711935778055,333.77429155892224,48,0.4791666666666667,1.0,1.0,191.5900844504532
2021-02-17,90.54214752568897,130.82484794407293,48,0.9375,1.0,1.0,119.40152523240822
2021-02-18,104.44936627906459,131.79395994499873,48,0.9791666666666666,1.0,1.0,118.643971602518
2021-02-19,464.9622047454007,534.5501073555422,48,0.2708333333333333,0.7291666666666666,1.0,303.0429683281124
2021-02-20,418.38281824682855,491.1382153367973,48,0.4583333333333333,0.6875,0.9583333333333334,277.8672109770405
2021-02-21,328.12610050270655,408.8018814046486,48,0.6666666666666666,0.7916666666666666,0.9166666666666666,233.71149097513026
